Deal Description,Title,Description,Original Price,Sales Price,Rating,Deal URL,Normal Link,Image URL,Category,Date Found,Promo Start date,Promo End date,Finder,How Found,Deal Status,Website Status,Email Status,Socials Status,Social Affiliate Link (Short),Notes
"40% OFF Steiner H6Xi 3-18x50mm FFP Riflesope! (was $2,000, now $1,199)",,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=ff9af6fd-7a8c-4a4a-91a6-ea4f01435e58&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.eurooptic.com%2FSteiner-H6Xi-3-18x50mm-MHR-MOA-FFP-Riflescope-8786.aspx&ctc=honeyhole,https://www.eurooptic.com/Steiner-H6Xi-3-18x50mm-MHR-MOA-FFP-Riflescope-8786.aspx,,Affiliate Email,11/15/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"Buy 2 Items, Get 3rd FREE at Springbar Fall Season Tent Event! (Use code: FALLCAMP)",,,,,3,,https://springbar.com/,,Affiliate Email,11/15/2024,11/1/2024,12/1/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
Mammut Black Friday,,,,,0,,,,Affiliate Email,11/15/2024,11/26/2024,,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,Should hear more soon from Jess Skrypek
Up To 60% OFF Sitka & More Big Brands at Black Ovis (Black Friday),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=47ec7bc0-1638-4806-a92b-a0a68166ad5d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.blackovis.com%2Fon-sale%2Fblack-friday-sale&ctc=honeyhole,https://www.blackovis.com/on-sale/black-friday-sale,,Affiliate Email,11/15/2024,11/29/2024,11/29/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
RARE 20% OFF Ultrahuman Ring AIR! (was $349 now $279),,,,,4,http://ultrahuman.com/outdoorempirecom,http://ultrahuman.com/outdoorempirecom,,Affiliate Email,11/15/2024,11/21/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,Discount code: OE20
10% OFF Ultrahuman Ring AIR! (was $349 now $314),Ultrahuman Ring AIR,10% OFF Ultrahuman Ring AIR! (was $349 now $314),349,314,4,http://ultrahuman.com/outdoorempirecom,http://ultrahuman.com/outdoorempirecom,https://cdn.speedsize.com/3f711f28-1488-44dc-b013-5e43284ac4b0/https://s3.amazonaws.com/public-web-assets.ultrahuman.com/web_v2/ring-buy/renders/rt2.png,camping-gear,11/15/2024,,,Chase Fly,Affiliate Email,Active,Live,Ignore,Posted,,"Ongoing deal, Discount code: OE10"
25%-50% OFF Select Gear from Salomon (Pre-Black Friday),25%-50% Off Salomon,25%-50% OFF Select Gear from Salomon (Pre-Black Friday),160,80,3,https://www.avantlink.com/click.php?tt=el&merchant_id=af5b8e7d-f369-4b4a-846b-641c1a9480fb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.salomon.com%2Fen-us%2Fshop%2Fpromotions%2Fblack-friday-sale.html&ctc=honeyhole,https://www.salomon.com/en-us/shop/promotions/black-friday-sale.html,https://www.salomon.com/en-us/shop/media/catalog/product/article_images/L47443400/L47443400_805ba9e7c6bddb36357d86c8e9c0123f.png?auto=webp&bg-color=f5f5f5&dpr=1&fit=cover&format=pjpg&optimize=low&orient=1&pad=36%2C36%2C36%2C36&width=356,camping-gear,11/15/2024,11/14/2024,,Chase Fly,Affiliate Email,Active,Live,Sent,Ignore,https://alnk.to/9xkNrTA,
50% OFF Salomon Cross Hike 2 Mid Gore-Tex hiking boots! (was $190 now $95),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=af5b8e7d-f369-4b4a-846b-641c1a9480fb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.salomon.com%2Fen-us%2Fshop%2Fproduct%2Fcross-hike-2-mid-gore-tex-lg9230.html%23color%3D70288&ctc=honeyhole,https://www.salomon.com/en-us/shop/product/cross-hike-2-mid-gore-tex-lg9230.html#color=70288,,Affiliate Email,11/15/2024,11/14/2024,,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
70% OFF onX Backcountry App for Black Friday (was $30 now $9),,,,,5,,https://www.onxmaps.com/backcountry/app/black-friday-cyber-monday-sale,,Marekting Email,11/19/2024,11/19/2024,12/3/2024,Chase Fly,Marekting Email,Dead,Removed,Ignore,Ignore,,
Good Deal Gets GREAT! Decathlon MT100 Down Jacket ONLY $70! (was $100),,,,,5,https://decathlonamerica.sjv.io/qznYdy,https://www.decathlon.com/collections/black-friday-deals/products/forclaz-mt100-hooded-down-puffer-jacket-167571?,,Affiliate Email,11/19/2024,11/19/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
Good Deal Gets GREAT! Decathlon MT100 Down Jacket ONLY $70! (was $100) - womens,,,,,5,https://decathlonamerica.sjv.io/YRg7zR,https://www.decathlon.com/collections/black-friday-deals/products/forclaz-trek-100-23-f-down-packable-puffer-backpacking-jacket-167572?,,Affiliate Email,11/19/2024,11/19/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
30% OFF AWESOME Decathlon Forclaz MT100 50L Backpacking Pack! (was $100 now $70),,,,,5,https://decathlonamerica.sjv.io/YRg7zR,https://www.decathlon.com/collections/black-friday-deals/products/mens-mountain-backpacking-rucksack-50-l-trek-100-easyfit-309807?variant=31629355843646,,Affiliate Email,11/19/2024,11/19/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
30% OFF Quechua Ultimate Comfort Self-Inflating Camp Mattress - AMAZING! (was $260 now $180),,,,,4,https://decathlonamerica.sjv.io/RGy79g,https://www.decathlon.com/collections/black-friday-deals/products/quechua-ultimate-comfort-self-inflating-mattress-2-person-329980?variant=40432489234494,,Affiliate Email,11/19/2024,11/19/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
38% OFF Decathlon Forclaz 500 Extend 20-60L Duffel Bag! (was $80 now $50),,,,,4,https://decathlonamerica.sjv.io/OeR7xN,https://www.decathlon.com/collections/black-friday-deals/products/forclaz-500-extend-40-60-l-duffel-bag-156359?variant=19061094481982,,Affiliate Email,11/19/2024,11/19/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,https://www.decathlon.com/collections/black-friday-deals
15% OFF Vortex Optics at OpticsPlanet (Use promo code VTX15),15% OFF Vortex Optics at OpticsPlanet (Use promo code VTX15),15% OFF Vortex Optics at OpticsPlanet (Use promo code VTX15),2999,3,3,https://www.avantlink.com/click.php?tt=el&merchant_id=ff9af6fd-7a8c-4a4a-91a6-ea4f01435e58&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.eurooptic.com%2F15-Off-Vortex-Holiday-24.aspx&ctc=honeyhole,https://www.eurooptic.com/15-Off-Vortex-Holiday-24.aspx,https://images.eurooptic.com/images/products/vortex-optics/vortex-razor-hd-gen3-6-36x56-moa-scope-63601.jpg,camping-gear,11/19/2024,,,Chase Fly,Affiliate Email,Active,Live,Ignore,Posted,https://alnk.to/b7zv1Iu,
40% OFF Hunting Gear at TrueTimber,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=ae488075-88cd-4058-942a-499ae8f40811&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftruetimber.com%2Fcollections%2Fhunting%2F&ctc=honeyhole,https://truetimber.com/collections/hunting/,,Affiliate Email,11/19/2024,11/30/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
25% OFF Sitewide at Free Fly Apparel,,,,,3,https://freeflyapparel.sjv.io/Xmx7ea,https://freeflyapparel.com/,,Affiliate Email,11/19/2024,11/27/2024,12/2/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"20% OFF YETI King Crab Orange Gear (coolers, drinkware)",,,,,3,https://yetius.pxf.io/kOjYqN,https://www.yeti.com/search?q=king+crab+orange&lang=en_US,,Affiliate Email,11/19/2024,11/18/2024,12/31/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
20% OFF YETI Barware Bundles (Great gift idea!),,,,,3,https://yetius.pxf.io/PO07DY,https://www.yeti.com/holiday-gift-sets.html,,Affiliate Email,11/19/2024,,11/26/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
30% OFF Holiday Bundles of Protekt Hydration and Energy Supplements! (was $120 now $85),,,,,3,,https://protekt.com/collections/all-non-merch-products,,Affiliate Email,11/19/2024,,,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,
40% OFF Select Smith Ski Goggles (including 4D MAG was $340 now $204),Smith Ski Goggles,40% OFF Select Smith Ski Goggles (including 4D MAG was $340 now $204),340,204,4,https://smithoptics.pxf.io/aO17oZ,https://www.smithoptics.com/en_US/c/warehouse-sale/,https://www.smithoptics.com/dw/image/v2/BDPZ_PRD/on/demandware.static/-/Sites-smith-master-catalog/default/dwafe3ea60/images/product-images/4d-mag-s-goggles/2425/FG/4d-mag-s-goggles_sangria-cpSunChromaPopSunBlack_3Q.png?sw=400&sh=400&sm=fit,camping-gear,11/19/2024,11/10/2024,,Chase Fly,Affiliate Email,Active,Live,Sent,Posted,https://smithoptics.pxf.io/LK2M13,
50% OFF Select Sitka Gear! Some amazing deals.,50% Off Sitka,50% OFF Select Sitka Gear! Some amazing deals.,770,460,3,https://www.avantlink.com/click.php?tool_type=cl&merchant_id=da743e74-18d9-45a9-b95d-8bc389bec74d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.sitkagear.com%2Fsale%2Fblack-friday-deals&ctc=honeyhole,https://www.sitkagear.com/sale/black-friday-deals,https://www.sitkagear.com/_next/image?url=https%3A%2F%2Fcdn11.bigcommerce.com%2Fs-bdswytx2s5%2Fproduct_images%2Fattribute_rule_images%2F4805_source_1731624554.png&w=640&q=75,hunting-gear,11/19/2024,11/14/2024,12/2/2024,Chase Fly,Affiliate Email,Active,Live,Sent,Posted,https://alnk.to/eDSJGkG,
20% OFF Winnerwell Tent Stove and Cooking Bundles (save up to $187),,,,,4,,https://winnerwell.us/collections/bundle-save-2024-gift-guide,,Affiliate Email,11/19/2024,11/7/2024,11/30/2024,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,
20% OFF GCI Rocker Camp Chairs! (RARE sale),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=5020432b-2ebc-4015-908e-7af6f97d8f72&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fgcioutdoor.com%2Fcollections%2Frockers&ctc=honeyhole,https://gcioutdoor.com/collections/rockers,,Manual,11/19/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
$46 OFF - Fenceline Brush Jacket with Fleece Blanket Lining ,,,,,4,https://schaeferoutfitter.sjv.io/vPnYkd,https://schaeferoutfitter.com/collections/mens-outerwear/products/fenceline-brush-jacket-with-fleece-blanket-lining-1,,Manual,11/19/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Ignore,,
SAVE $30 OFF - S5 Tactical Field - 40mm Quartz,,,,,3,https://vaer-watches.sjv.io/6ybmLK,https://www.vaerwatches.com/products/s5-tactical-field,,Manual,11/19/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Ignore,,
Up to 30% OFF the COMFIEST Camp Sleeping Systems! (,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=c3f6de45-8212-43f1-8918-3586d13c55b0&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fhest.com%2Fpages%2Fbundle-page&ctc=honeyhole,https://hest.com/pages/bundle-page,,Manual,11/19/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
20% OFF - YETI Rambler Ice Bucket ,,,,,2,yetius.pxf.io/JKr7XR,https://www.yeti.com/drinkware/barware/21071502618.html,,Manual,11/19/2024,,,Hannah Ball,Manual,Dead,Removed,Ignore,Ignore,,
25% OFF Our Favorite Backpack Cooler - ICEMULE Pro (was $125 now $101),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=781734fd-f857-47d4-8714-c630d6cf45a8&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ficemulecoolers.com%2Fproducts%2Fthe-icemule-pro-large&ctc=honeyhole,https://icemulecoolers.com/products/the-icemule-pro-large,,Manual,11/19/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
Up To 30% OFF a Zenbivy Sleep System via Email (Best Price Ever on Best Sleep Ever),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=87fe4cfb-c921-4815-b863-cb401349a9d8&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fzenbivy.com%2F&ctc=honeyhole,https://zenbivy.com/,,Manual,11/19/2024,11/22/2024,,Chase Fly,Manual,Dead,Removed,Sent,Ignore,,
"$200 off the Cyber Monday Pizza Bundle: Prime Essential, Cart, Cover",,,,,4,,,,Affiliate Email,11/19/2024,12/2/2024,12/3/2024,Chase Fly,Affiliate Email,Dead,Ignore,Ignore,Ignore,,
50% OFF KUIU Venture Backpack (was $189 now $94.50),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=74abdbc7-5cd7-4518-9fcb-9b0bf7ee96a2&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.kuiu.com%2Fproducts%2Fventure-1800-stone%3Fvariant%3D44012398837918&ctc=honeyhole,https://www.kuiu.com/products/venture-1800-stone?variant=44012398837918,,Text Alert,11/19/2024,,,Chase Fly,Text Alert,Dead,Removed,Ignore,Ignore,,
50% OFF KUIU Super Down PRO Glassing Glomitt (was $139 now $69.50),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=74abdbc7-5cd7-4518-9fcb-9b0bf7ee96a2&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.kuiu.com%2Fproducts%2Fsuper-down-pro-glassing-glomitt-verde-camouflage-2-0%3Fvariant%3D40340204716190&ctc=honeyhole,https://www.kuiu.com/products/super-down-pro-glassing-glomitt-verde-camouflage-2-0?variant=40340204716190,,Text Alert,11/19/2024,,,Chase Fly,Text Alert,Dead,Removed,Sent,Ignore,,
33% OFF Mega Popular KUIU Attack Pant in 2 Colors (was $149 now $100),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=74abdbc7-5cd7-4518-9fcb-9b0bf7ee96a2&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.kuiu.com%2Fproducts%2Foutlet-attack-pant-loden%3Fvariant%3D44273241096350&ctc=honeyhole,https://www.kuiu.com/products/outlet-attack-pant-loden,,Text Alert,11/19/2024,,,Chase Fly,Text Alert,Dead,Removed,Ignore,Posted,https://alnk.to/cHOjR5Y,
25% OFF HEST Camp Sleep Systems (EXTREME Comfort!),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=c3f6de45-8212-43f1-8918-3586d13c55b0&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fhest.com%2F&ctc=honeyhole,https://hest.com/,,Affiliate Email,11/19/2024,11/21/2024,12/1/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,"Fitted & top sheets, pillowcases, comforters, Sleep Systems, Foamys, camp pillows, tote bags, and dog beds."
40% OFF Zamberlan and Danner Hiking Boots (Awesome Discount on High-end Gear!),Danner Hiking Boots,40% OFF Zamberlan and Danner Hiking Boots (Awesome Discount on High-end Gear!),350,210,4,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2F40-off-select-full-priced-products-with-code-stepup40-2.html&ctc=honeyhole,https://www.campsaver.com/40-off-select-full-priced-products-with-code-stepup40-2.html,https://www.campsaver.com/i/160-146-ffffff/opplanet-zamberlan-vioz-gtx-backpacking-boots-womens-dark-brown-medium-11-0996dbw-medium-11-main.webp,hiking-gear,11/19/2024,,,Chase Fly,Manual,Active,Live,Sent,Posted,https://alnk.to/880ClTq,
